fuel_type,bmu,lf
Nuclear,T_HUNB-8,1
Nuclear,T_HEYM28,0.999999538
Nuclear,T_SIZB-2,0.99999411
Nuclear,T_SIZB-1,0.999993481
Nuclear,T_HEYM12,0.999990716
Nuclear,T_HINB-8,0.999989524
Nuclear,T_HINB-7,0.999970267
Nuclear,T_HRTL-2,0.999958811
Nuclear,T_TORN-2,0.999953399
Nuclear,T_TORN-1,0.999949041
Nuclear,T_HEYM11,0.999936697
Nuclear,T_HRTL-1,0.99992076
Nuclear,T_HEYM27,0.999893836
Biomass,E_MARK-1,0.999866284
Biomass,E_LYNE3,0.997241546
Biomass,T_TSREP-1,0.996044735
CCGT,E_FELL-1,0.995452813
Other,V__PFLEX001,0.986407556
CCGT,E_FAWN-1,0.983317013
Biomass,E_LYNE1,0.978910642
CCGT,T_KEAD-2,0.973469073
Biomass,E_LYNE2,0.939569418
CCGT,T_GRMO-1,0.931780871
CCGT,T_PEMB-51,0.880654017
Biomass,T_DRAXX-2,0.864577014
CCGT,T_HUMR-1,0.85970924
CCGT,T_PEMB-41,0.856351182
CCGT,T_PEMB-31,0.85218553
CCGT,T_PEMB-21,0.843311052
CCGT,T_PEMB-11,0.818704618
CCGT,T_GRAI-6,0.796884705
Biomass,T_DRAXX-4,0.794988163
CCGT,T_EECL-1,0.794422827
Biomass,T_DRAXX-3,0.779154198
CCGT,T_MRWD-1,0.73819274
CCGT,T_DIDCB5,0.733888742
CCGT,T_STAY-1,0.727836921
CCGT,T_STAY-4,0.724992832
CCGT,T_STAY-3,0.724992311
CCGT,T_GRAI-8,0.722510711
CCGT,T_STAY-2,0.718070266
CCGT,T_SCCL-2,0.71526929
CCGT,E_GYAR-1,0.680770444
CCGT,T_SCCL-3,0.679420525
CCGT,T_SCCL-1,0.668011231
CCGT,T_LAGA-1,0.664768859
CCGT,T_CARR-2,0.6622903
CCGT,E_SHOS-1,0.653149726
CCGT,T_GRAI-7,0.652203492
CCGT,T_CARR-1,0.648461964
CCGT,T_CDCL-1,0.64627381
CCGT,E_KLYN-A-1,0.642564393
CCGT,T_WBURB-1,0.638901749
CCGT,T_WBURB-3,0.631290004
CCGT,T_DIDCB6,0.624586769
CCGT,T_PEHE-1,0.594688099
CCGT,T_WBURB-2,0.572953277
CCGT,T_LBAR-1,0.548121668
CCGT,T_SPLN-1,0.541031967
Coal,T_RATS-2,0.529389245
Coal,T_RATS-4,0.485386298
CCGT,T_CNQPS-4,0.463642042
CCGT,T_SEAB-1,0.462463154
CCGT,T_SHBA-1,0.455665382
Coal,T_RATS-3,0.449543352
CCGT,T_CNQPS-3,0.444880309
Biomass,T_DRAXX-1,0.441161159
CCGT,T_SEAB-2,0.420143954
CCGT,T_KEAD-1,0.40426849
CCGT,T_CNQPS-1,0.390132551
CCGT,T_SHBA-2,0.382744627
CCGT,T_DAMC-1,0.359258936
CCGT,T_MEDP-1,0.339239199
Other,V__MADEL001,0.314035088
CCGT,T_CNQPS-2,0.296328031
CCGT,T_ROCK-1,0.275273983
Other,V__EADEL001,0.247222222
Biomass,T_WILCT-1,0.222715725
Pumped Storage,T_FOYE-1,0.212539459
CCGT,T_COSO-1,0.207080852
Pumped Storage,T_FOYE-2,0.205684082
Pumped Storage,T_DINO-6,0.203100754
Coal,T_RATS-1,0.183413038
CCGT,T_RYHPS-1,0.1736511
Pumped Storage,T_DINO-3,0.170656108
Pumped Storage,T_DINO-5,0.155486988
Pumped Storage,T_CRUA-1,0.142003195
Pumped Storage,T_CRUA-2,0.133929135
Pumped Storage,T_CRUA-4,0.121412922
OCGT,E_CROYD-2,0.120198982
Other,E_VKING-2,0.106088519
OCGT,E_DERBY-1,0.103344409
Pumped Storage,T_DINO-4,0.099126483
CCGT,E_THRNL-1,0.098370278
OCGT,E_FDUN-1,0.097173532
Pumped Storage,T_FFES-2,0.097170811
Pumped Storage,T_DINO-2,0.089982072
OCGT,E_EXETR-2,0.089543833
Other,V__NFLEX001,0.08185184
Pumped Storage,T_FFES-4,0.074324302
Pumped Storage,T_FFES-1,0.07123103
Other,V__EGAZP001,0.071065675
Coal,T_WBUPS-2,0.067715505
Coal,T_WBUPS-1,0.057589698
Pumped Storage,T_CRUA-3,0.047642808
Other,V__MCEND002,0.043213514
Pumped Storage,T_FFES-3,0.040086471
OCGT,E_CHICK-1,0.034104833
OCGT,E_BURGH-1,0.033127384
OCGT,T_SEEL-1,0.019996218
CCGT,T_KILLPG-1,0.015082744
Other,T_WBURB-41,0.014779884
CCGT,T_KILLPG-2,0.011983469
CCGT,E_CORB-1,0.011459305
Other,T_WBURB-43,0.009395635
Other,V__MEROV001,0.007132832
OCGT,T_INDQ-1,0.005253936
CCGT,E_PETEM1,0.002968012
OCGT,T_KEADGT-3,0.002861396
OCGT,T_DRAXX-9G,0.002810724
OCGT,E_TAYL2G,0.002588912
Coal,T_DRAXX-5,0.002507785
Coal,T_DRAXX-6,0.002454047
OCGT,T_DRAXX-10G,0.00235974
OCGT,T_LBAR-1G,0.002043704
OCGT,E_TAYL3G,0.001963174
OCGT,T_DRAXX-12G,0.001937298
OCGT,E_COWE1,0.001653876
OCGT,E_COWE2,0.0014273
OCGT,T_GRAI1G,0.00132614
OCGT,E_DIDC2G,0.001288489
Other,V__BCEND002,0.000991006
OCGT,E_DIDC3G,0.000819705
OCGT,T_GRAI4G,0.000757911
OCGT,E_DIDC4G,0.000646011
OCGT,E_DIDC1G,0.00054845
OCGT,T_RATSGT-2,0.000511788
OCGT,T_WBUGT-1,0.000496082
OCGT,T_WBUGT-4,0.000462046
OCGT,T_RATSGT-4,0.000353155
